source,target
0,1
0,10
0,11
0,25
0,45
0,47
0,942
0,1216
0,2039
0,2097
0,1709
0,856
0,1696
0,494
0,91
0,932
0,203
0,667
0,187
0,1329
0,2333
0,1444
0,947
0,2327
0,835
0,858
0,756
0,1509
0,1556
0,1364
0,949
0,226
0,2403
0,919
0,1148
0,818
0,1781
0,2103
0,2025
0,1321
0,2310
0,1005
0,867
0,2063
0,805
0,2495
0,2399
0,1759
0,1078
0,601
0,2217
0,220
0,1517
0,2379
0,1758
0,2264
0,1799
0,522
0,1454
0,410
0,1893
0,2089
0,1317
0,141
0,2522
0,276
0,2142
0,168
0,1184
0,27
0,742
0,1940
0,2132
0,297
0,2579
0,1889
0,318
0,1349
0,334
0,1582
0,1120
0,1976
0,2114
0,1521
0,2325
0,314
0,920
0,2462
0,1777
0,109
0,1885
0,696
0,2148
0,1647
0,1359
0,104
0,2519
0,1993
0,790
0,1076
0,1606
0,629
0,776
0,2302
0,1818
0,2556
1,99
1,1480
1,562
1,2092
1,2330
1,2197
1,2259
1,1331
1,564
1,1885
1,663
1,228
1,1203
1,773
1,310
1,1985
1,1934
1,1095
1,145
1,1313
1,929
1,32
1,400
1,1879
1,1748
1,1788
1,1836
1,1652
1,113
1,1367
1,133
1,1561
1,886
1,299
1,1363
1,2027
1,2480
1,1344
1,1562
1,1242
1,2405
1,93
1,843
1,220
1,1076
1,1032
1,1512
1,1349
1,282
1,233
1,825
1,1944
1,750
1,1732
1,740
1,1676
1,1268
1,1884
1,92
1,1500
1,719
1,1083
1,2112
1,2363
1,1849
1,244
1,1568
1,2250
1,2483
1,1945
1,965
1,976
1,803
1,1018
1,2572
1,149
1,5
1,1845
1,1624
1,2589
1,2568
1,1645
1,428
1,445
1,314
1,1965
1,1680
1,94
1,2279
1,612
1,867
1,2107
1,2034
1,1640
1,316
1,1910
1,981
1,805
1,523
1,1698
1,865
1,331
1,1238
1,167
1,747
1,2021
1,41
1,2489
1,1016
1,767
1,2191
1,1050
1,1973
1,1899
2,192
2,970
2,2103
2,991
2,2297
2,1958
2,1457
2,2377
2,1820
2,124
2,1899
2,44
2,105
2,879
2,1784
2,1767
2,499
2,2178
2,2360
2,2044
2,4
2,676
3,1412
3,367
3,327
3,16
3,454
3,1838
3,1691
3,1921
3,799
3,33
3,702
3,6
3,257
3,998
3,2140
3,1727
3,584
3,1418
3,483
3,2305
4,19
4,253
4,2220
4,569
4,2136
4,1027
4,1520
4,686
4,1734
4,307
4,567
4,1332
4,2163
4,614
4,678
4,1414
4,481
4,652
4,1999
4,1367
4,514
4,628
4,773
4,2215
4,2114
4,1982
4,882
4,704
4,644
4,520
4,2269
4,816
4,1565
4,1189
4,2238
4,1924
4,177
4,151
4,768
4,417
4,2431
4,1568
4,2070
4,661
4,671
4,2461
4,2179
4,2243
4,1216
4,943
4,203
4,2568
4,1225
4,2503
4,427
4,843
4,2356
4,1365
4,2181
4,1897
4,2389
4,2223
4,2454
4,469
4,2200
4,2055
4,2484
4,1594
4,106
4,1110
4,1187
4,2257
4,503
4,650
4,1654
4,1928
4,2084
4,1969
4,1418
4,2500
4,907
4,1045
4,332
4,2478
4,1132
4,2263
4,689
4,663
4,191
4,1119
4,869
5,347
5,1132
5,1850
5,1355
5,2035
5,2306
5,1661
5,530
5,1973
5,2098
5,2536
5,2264
5,2012
5,759
5,2232
5,2350
5,1803
5,25
5,641
5,2522
5,1215
5,290
5,54
5,426
5,370
5,912
5,2281
5,1269
5,1971
5,2230
5,2069
5,1437
6,203
6,303
6,1122
6,216
6,120
6,1873
6,677
6,526
6,436
6,1046
6,1352
6,210
6,1381
6,93
6,1856
6,1299
6,831
6,2471
6,1248
6,304
6,1306
6,1471
6,187
6,1106
6,1815
6,892
6,199
6,1559
6,75
6,2010
6,595
6,1734
6,1291
6,625
6,1897
6,783
6,413
6,306
6,1584
6,420
6,2118
6,2360
6,574
6,1489
6,2498
6,69
6,1573
6,121
6,97
6,433
6,1324
6,1432
6,2269
6,1781
6,299
6,1690
6,2110
6,2033
6,2057
6,1823
6,1296
6,149
6,1184
6,1811
6,435
6,250
6,2641
6,755
6,950
6,2538
6,398
7,1760
7,2286
7,50
7,191
7,1234
7,858
7,2050
7,2302
7,2303
7,1091
7,381
7,1900
8,2322
8,2331
8,38
8,1952
8,679
8,2000
8,957
8,1069
8,2076
8,1990
8,650
8,1430
8,979
8,525
8,217
9,49
9,1383
9,1512
9,1626
9,543
9,2107
9,964
9,891
9,584
9,1191
9,310
9,139
9,685
9,2226
9,2238
9,575
9,1929
9,2011
9,306
9,1524
9,1777
9,2434
9,2002
9,2612
9,2428
9,2401
9,1744
9,2009
9,2331
10,899
10,83
10,1382
10,1821
10,2265
10,1321
10,1866
10,419
10,1564
10,2528
10,1256
10,2090
10,1425
10,2507
10,842
10,798
10,807
10,1726
10,594
10,776
10,1018
10,19
10,1128
10,32
10,86
10,365
10,417
10,692
10,997
10,2468
10,1793
10,351
10,145
10,1216
10,1269
10,111
11,357
11,925
11,986
11,1827
11,2065
11,1007
11,1929
11,248
11,1634
11,616
11,138
11,2447
11,846
11,172
11,928
11,2405
11,274
11,36
11,1554
11,958
11,315
11,29
11,509
11,89
11,71
11,564
11,130
11,2588
11,1791
11,231
12,2235
12,191
12,1269
12,1892
12,105
12,1482
12,1197
12,263
12,676
12,1308
12,2036
12,839
12,1293
12,1088
12,641
12,633
13,1445
13,1556
13,201
13,394
13,1441
13,2606
13,99
13,2391
13,788
13,982
13,1688
13,1472
13,106
13,1494
13,1952
13,359
14,1647
14,360
14,2484
14,2175
14,254
14,296
14,1279
14,706
14,1178
14,1259
14,1375
14,348
14,2618
14,2176
14,1744
14,269
14,322
15,1108
15,974
15,923
15,2082
15,1743
15,1186
15,1801
15,1441
15,719
15,1629
15,154
15,2132
15,693
15,1881
15,126
15,2290
15,1891
15,2342
15,622
15,2448
15,1103
15,403
15,2049
15,912
15,972
15,1723
15,2373
15,1432
15,1503
15,252
15,841
15,889
15,1728
15,2137
15,2249
15,551
15,499
15,2574
15,2123
15,1429
15,262
15,1539
15,720
15,105
15,356
15,1168
15,850
15,2341
15,2173
15,1302
16,1754
16,917
16,757
16,1878
16,1576
16,1057
16,1290
16,837
16,132
16,1002
16,533
16,777
16,1358
16,1893
16,2087
16,1890
16,1309
16,2103
16,1379
16,540
16,231
16,1429
16,143
16,1218
16,463
16,2525
16,303
16,946
16,676
16,239
16,375
16,2423
16,193
16,1862
16,727
16,1647
16,99
16,2256
16,404
16,793
16,2400
16,696
16,854
16,1302
16,92
16,782
16,269
16,723
16,1306
16,1180
16,232
16,804
16,22
16,2344
16,1477
16,382
16,2170
17,333
17,1573
17,1215
17,2257
17,19
17,1485
17,1892
17,1632
17,906
17,1929
17,147
17,2190
17,226
17,2485
17,2130
17,213
17,235
17,1080
17,2167
17,312
17,2155
17,687
17,1893
18,478
18,2080
18,203
18,1068
18,753
18,409
18,1750
18,291
18,74
18,979
18,109
18,1575
18,2493
18,1527
18,251
18,95
18,2375
18,35
18,2554
19,252
19,1288
19,1660
19,1214
19,2116
19,2088
19,286
19,229
19,2000
19,1452
19,2449
19,1713
19,1896
20,1955
20,249
20,42
20,1946
20,1713
20,2340
20,2224
20,64
20,2555
20,1007
20,2107
20,767
20,413
20,1200
20,2515
20,1547
20,1850
21,1333
21,1172
21,443
21,2066
21,2372
21,1053
21,2285
21,1694
21,1643
21,264
21,142
21,710
21,1418
21,2636
21,2164
22,345
22,1819
22,277
22,1595
22,839
22,1079
22,2356
22,1528
22,2055
22,925
22,1481
22,1558
22,74
22,898
22,2447
22,2441
22,909
22,1146
22,2635
22,2440
22,339
23,771
23,1697
23,2492
23,1524
23,1105
23,426
23,2216
23,708
23,1071
24,134
24,2081
24,2498
24,1037
24,608
24,1104
24,385
24,923
24,455
24,2249
24,80
24,1089
24,120
24,216
24,1528
25,727
25,1822
25,420
25,1947
25,518
25,143
25,2030
25,2436
25,1098
25,1070
25,1692
25,1134
25,1168
25,1869
25,1507
25,1111
25,1621
25,253
25,1438
25,620
25,57
25,259
25,1810
26,65
26,91
26,1044
26,1243
26,834
26,540
26,1206
26,2224
26,660
26,1759
26,1588
26,1417
26,1377
26,1855
26,278
26,1262
26,275
26,2024
26,1998
26,1247
26,1331
26,1209
26,1196
26,437
26,171
26,2485
26,139
26,669
26,1370
26,2451
26,1844
26,1928
26,519
26,152
26,566
26,2086
27,1809
27,1766
27,229
27,2197
27,692
27,956
27,1349
27,1541
27,1274
27,691
27,1442
27,1821
27,1748
27,2451
27,1722
27,1914
27,1260
27,550
27,2069
27,1473
27,1481
27,94
27,1427
27,1166
27,1641
27,2453
27,163
27,2389
27,1392
27,554
27,1741
27,2424
27,2499
27,1623
27,36
27,281
28,2209
28,1684
28,521
28,150
28,776
28,2609
28,285
28,1255
28,1378
28,2659
28,365
28,1194
28,1837
29,2057
29,1572
29,927
29,279
29,1158
29,452
29,1758
29,2118
29,720
29,2330
29,622
29,694
29,1814
29,1867
29,2659
29,2294
29,453
29,436
29,1538
30,1261
30,2381
30,682
30,1373
30,907
30,2321
30,299
30,37
30,524
31,39
31,584
31,588
31,1439
31,1345
31,178
31,1377
31,445
31,462
31,1779
31,2264
31,1962
31,1005
31,2161
31,589
31,1179
31,2492
31,2394
31,229
31,1295
31,2197
31,748
31,1407
31,1660
31,1230
31,2081
31,966
31,1472
32,494
32,1928
32,422
32,1149
32,2481
32,2200
32,1325
32,301
32,929
32,101
32,1364
32,189
32,2249
32,138
32,1314
32,879
32,747
32,693
32,1119
33,188
33,1168
33,2045
33,1234
33,2375
33,1173
33,1348
33,103
33,117
33,2082
33,1652
33,2195
33,566
33,2165
33,1293
33,897
33,1097
33,1872
33,2181
33,952
33,1618
33,1278
34,210
34,538
34,67
34,2530
34,116
34,1660
34,1415
34,42
35,333
35,1105
35,2062
35,1020
35,69
35,2452
35,1407
35,561
35,2542
35,1475
35,1236
35,1152
35,957
35,745
35,2143
35,2459
35,2350
35,1979
35,1276
35,814
35,2249
35,1370
35,2363
35,2125
35,1636
35,1652
35,1545
36,76
36,2297
36,957
36,1244
37,130
37,1752
37,1012
37,1767
37,2253
37,273
